season,rule,avg_judge_fan_rho
1,rank,-0.05238095238095242
1,percent,-0.05238095238095242
2,rank,-0.2271125943773826
2,percent,-0.2271125943773826
3,rank,-0.43603339979207995
3,percent,-0.43603339979207995
4,rank,-0.08290188574462556
4,percent,-0.08290188574462556
5,rank,-0.32325170992796426
5,percent,-0.32325170992796426
6,rank,-0.28904775907331853
6,percent,-0.28904775907331853
7,rank,-0.4439707613787268
7,percent,-0.4439707613787268
8,rank,-0.043585532586010944
8,percent,-0.043585532586010944
9,rank,-0.005893050989890208
9,percent,-0.005893050989890208
10,rank,-0.5512542775696284
10,percent,-0.5512542775696284
11,rank,-0.34087651315321765
11,percent,-0.34087651315321765
12,rank,-0.19536124841758343
12,percent,-0.19536124841758343
13,rank,-0.19928395309752364
13,percent,-0.19928395309752364
14,rank,-0.40799926350775206
14,percent,-0.40799926350775206
15,rank,-0.3348427231536013
15,percent,-0.3348427231536013
16,rank,0.0
16,percent,0.0
17,rank,-0.3690206539240003
17,percent,-0.3690206539240003
18,rank,-0.3362727332215934
18,percent,-0.3362727332215934
19,rank,-0.0654566518751061
19,percent,-0.0654566518751061
20,rank,-0.3365896252490548
20,percent,-0.3365896252490548
21,rank,-0.2891091176863375
21,percent,-0.2891091176863375
22,rank,-0.36651280843945183
22,percent,-0.36651280843945183
23,rank,-0.31314538410933823
23,percent,-0.31314538410933823
24,rank,-0.6952492064493767
24,percent,-0.6952492064493767
25,rank,-0.506046875544619
25,percent,-0.506046875544619
26,rank,-0.10060801286491208
26,percent,-0.10060801286491208
27,rank,-0.09420838057872608
27,percent,-0.09420838057872608
28,rank,-0.37390311354302996
28,percent,-0.37390311354302996
29,rank,-0.3890013624340489
29,percent,-0.3890013624340489
30,rank,-0.24188219067849728
30,percent,-0.24188219067849728
31,rank,-0.31175985765150127
31,percent,-0.31175985765150127
32,rank,-0.5886033791127181
32,percent,-0.5886033791127181
33,rank,-0.4033466746091649
33,percent,-0.4033466746091649
34,rank,-0.5023104578104532
34,percent,-0.5023104578104532
