season,rule,pair_id,celebrity_name,p_win,p_top3,expected_rank,expected_survival_weeks
1,percent,1,John O'Hurley,0.0,0.73,3.32,4.41
1,percent_save,1,John O'Hurley,0.0,0.44,3.68,3.76
1,rank,1,John O'Hurley,0.0,0.67,3.4,4.27
1,rank_save,1,John O'Hurley,0.0,0.25,4.37,2.88
1,percent,2,Kelly Monaco,0.0,0.6,3.04,4.56
1,percent_save,2,Kelly Monaco,0.0,0.61,3.36,4.25
1,rank,2,Kelly Monaco,0.0,0.55,3.37,4.18
1,rank_save,2,Kelly Monaco,0.0,0.92,2.93,4.99
1,percent,3,Evander Holyfield,0.07,0.67,2.74,4.86
1,percent_save,3,Evander Holyfield,0.09,1.0,1.91,6.0
1,rank,3,Evander Holyfield,0.08,0.81,2.3,5.43
1,rank_save,3,Evander Holyfield,0.19,1.0,1.81,6.0
1,percent,4,Rachel Hunter,0.93,1.0,1.08,5.99
1,percent_save,4,Rachel Hunter,0.91,0.95,1.24,5.8
1,rank,4,Rachel Hunter,0.92,0.97,1.14,5.91
1,rank_save,4,Rachel Hunter,0.81,0.83,1.63,5.39
1,percent,5,Joey McIntyre,0.0,0.0,4.82,2.18
1,percent_save,5,Joey McIntyre,0.0,0.0,4.81,2.19
1,rank,5,Joey McIntyre,0.0,0.0,4.79,2.21
1,rank_save,5,Joey McIntyre,0.0,0.0,4.26,2.74
2,percent,1,Tatum O'Neal,0.53,0.94,1.7,7.93
2,percent_save,1,Tatum O'Neal,0.59,0.96,1.57,7.92
2,rank,1,Tatum O'Neal,0.94,1.0,1.08,8.0
2,rank_save,1,Tatum O'Neal,0.92,1.0,1.13,8.0
2,percent,2,Tia Carrere,0.0,0.0,5.08,5.87
2,percent_save,2,Tia Carrere,0.0,0.0,5.03,5.91
2,rank,2,Tia Carrere,0.0,0.0,5.17,5.7
2,rank_save,2,Tia Carrere,0.0,0.0,5.6,5.29
2,percent,3,George Hamilton,0.46,0.95,1.71,7.95
2,percent_save,3,George Hamilton,0.41,0.88,1.84,7.87
2,rank,3,George Hamilton,0.06,0.99,1.97,7.99
2,rank_save,3,George Hamilton,0.05,0.33,3.31,7.31
2,percent,4,Lisa Rinna,0.0,0.0,8.83,1.17
2,percent_save,4,Lisa Rinna,0.0,0.0,8.58,1.42
2,rank,4,Lisa Rinna,0.0,0.0,8.6,1.4
2,rank_save,4,Lisa Rinna,0.0,0.0,8.52,1.48
2,percent,5,Stacy Keibler,0.0,0.37,4.28,6.64
2,percent_save,5,Stacy Keibler,0.0,0.18,4.2,6.77
2,rank,5,Stacy Keibler,0.0,0.05,5.65,5.03
2,rank_save,5,Stacy Keibler,0.0,0.67,3.79,7.12
2,percent,6,Jerry Rice,0.0,0.0,6.79,4.1
2,percent_save,6,Jerry Rice,0.0,0.0,7.57,3.04
2,rank,6,Jerry Rice,0.0,0.0,6.32,4.63
2,rank_save,6,Jerry Rice,0.0,0.0,7.35,3.24
2,percent,7,Giselle Fernandez,0.01,0.74,3.12,7.59
2,percent_save,7,Giselle Fernandez,0.0,0.98,2.87,7.92
2,rank,7,Giselle Fernandez,0.0,0.96,3.02,7.94
2,rank_save,7,Giselle Fernandez,0.03,1.0,2.25,8.0
2,percent,8,Master P,0.0,0.0,7.63,2.75
2,percent_save,8,Master P,0.0,0.0,7.49,3.02
2,rank,8,Master P,0.0,0.0,7.42,3.16
2,rank_save,8,Master P,0.0,0.0,7.39,3.22
2,percent,9,Drew Lachey,0.0,0.0,5.86,5.0
2,percent_save,9,Drew Lachey,0.0,0.0,5.85,5.13
2,rank,9,Drew Lachey,0.0,0.0,5.77,5.15
2,rank_save,9,Drew Lachey,0.0,0.0,5.66,5.34
3,percent,1,Harry Hamlin,0.86,1.0,1.17,9.97
3,percent_save,1,Harry Hamlin,0.89,0.99,1.16,9.93
3,rank,1,Harry Hamlin,0.86,0.99,1.22,9.91
3,rank_save,1,Harry Hamlin,0.83,0.98,1.3,9.85
3,percent,2,Vivica A. Fox,0.0,0.0,7.95,3.05
3,percent_save,2,Vivica A. Fox,0.0,0.0,8.51,2.49
3,rank,2,Vivica A. Fox,0.0,0.0,8.15,2.85
3,rank_save,2,Vivica A. Fox,0.0,0.0,8.68,2.32
3,percent,3,Monique Coleman,0.0,0.83,3.08,8.77
3,percent_save,3,Monique Coleman,0.0,0.85,3.09,8.71
3,rank,3,Monique Coleman,0.0,0.31,4.29,6.4
3,rank_save,3,Monique Coleman,0.0,0.14,4.69,5.62
3,percent,4,Joey Lawrence,0.14,0.99,2.02,9.84
3,percent_save,4,Joey Lawrence,0.11,0.98,2.11,9.74
3,rank,4,Joey Lawrence,0.14,0.99,1.98,9.86
3,rank_save,4,Joey Lawrence,0.17,0.98,1.99,9.82
3,percent,5,Mario Lopez,0.0,0.17,4.08,7.53
3,percent_save,5,Mario Lopez,0.0,0.18,3.99,7.73
3,rank,5,Mario Lopez,0.0,0.69,3.47,8.46
3,rank_save,5,Mario Lopez,0.0,0.89,3.1,8.9
3,percent,6,Emmitt Smith,0.0,0.01,5.32,5.4
3,percent_save,6,Emmitt Smith,0.0,0.0,6.14,4.7
3,rank,6,Emmitt Smith,0.0,0.02,6.32,4.45
3,rank_save,6,Emmitt Smith,0.0,0.01,6.87,4.04
3,percent,7,Shanna Moakler,0.0,0.0,8.69,2.31
3,percent_save,7,Shanna Moakler,0.0,0.0,8.2,2.8
3,rank,7,Shanna Moakler,0.0,0.0,8.71,2.29
3,rank_save,7,Shanna Moakler,0.0,0.0,8.11,2.89
3,percent,8,Willa Ford,0.0,0.0,9.86,1.14
