season,rule,p_champion_change,p_top3_change,rho_F,rho_J,drama_D,drama_D_late,upset_rate,suspense_H,suspense_H_late
1,rank,0.0,0.0,0.8369999999999997,0.585,0.8908518999257499,0.2833333333333333,0.286,0.9145269492532891,0.9145269492532891
1,rank_save,0.27,0.73,0.6379999999999999,0.7749999999999999,0.8324938335252551,0.3566666666666667,0.068,0.8079558763817053,0.8079558763817053
1,percent,0.15,0.62,0.7779999999999998,0.49,0.8526625759888868,0.2516666666666666,0.3339999999999999,0.9392017001033266,0.9392017001033266
1,percent_save,0.15,0.61,0.8589999999999999,0.7109999999999999,0.9000594921263111,0.3,0.24,0.8285924826628159,0.8285924826628159
2,rank,0.0,0.0,0.8618333333333333,0.7696666666666667,0.7794626984876729,0.8551294866407178,0.1314285714285714,0.9667422771342176,0.8013491407770278
2,rank_save,0.12,0.69,0.8333333333333331,0.8756666666666668,0.7921275190029096,0.809662053365946,0.0385714285714285,0.9424403143559495,0.8291678064108478
2,percent,0.46,0.39,0.9043333333333332,0.8118333333333334,0.7913389047393086,0.8336589688327298,0.1385714285714285,1.129181680308502,1.277930271517699
2,percent_save,0.45,0.23,0.9008333333333332,0.866,0.8438745618122183,0.9309922369016698,0.0614285714285714,0.9571709828144424,0.9606052101235216
3,rank,0.0,0.0,0.9096969696969698,0.919151515151515,0.5826096320642065,0.5185923600231369,0.1611111111111111,1.0221277434898803,0.9554107846256916
3,rank_save,0.29,0.36,0.8848484848484844,0.9167272727272728,0.5384872726819577,0.4698752524757789,0.0544444444444444,0.6575370231949352,0.6406602554020395
3,percent,0.26,0.66,0.957090909090909,0.9202424242424242,0.6771078668691349,0.7069445742851994,0.2911111111111111,1.09960598508199,1.162737337564246
3,percent_save,0.15,0.71,0.9425454545454544,0.9367272727272726,0.6667279948253672,0.6974114257450198,0.2044444444444444,0.8561549840217725,1.1196095283141456
4,rank,0.0,0.0,0.905,0.8723333333333332,0.4476035560702122,0.385763224809629,0.06,0.912616406475196,1.0695322206991618
4,rank_save,0.31,0.16,0.9153333333333334,0.9143333333333332,0.4510967509161885,0.4091233670070887,0.0033333333333333,0.4990036684422604,0.7319561269923854
4,percent,0.27,0.37,0.9408333333333334,0.9025000000000002,0.423146411156135,0.37733095920765,0.1611111111111111,1.106186830798583,1.1453804703598771
4,percent_save,0.25,0.18,0.936,0.9206666666666666,0.4611947110988539,0.3669795950231869,0.0733333333333333,0.8015012191654752,0.7271960717209969
5,rank,0.0,0.0,0.925714285714286,0.9371428571428572,0.9298980620825468,0.9666666666666668,0.0388888888888888,0.7320743246126472,0.8379966675356526
5,rank_save,0.89,0.17,0.8819047619047622,0.9014285714285714,0.6073997169764644,0.2666666666666666,0.0044444444444444,0.3806443006000566,0.521627290132952
5,percent,0.19,0.28,0.946904761904762,0.9423809523809524,0.926096758267091,0.9266666666666666,0.1011111111111111,0.9594326742540144,0.9563842054240932
5,percent_save,0.88,0.15,0.913095238095238,0.9290476190476192,0.9912106614874568,1.08,0.0144444444444444,0.5401096921938461,0.5464534195011949
6,rank,0.0,0.0,0.9413333333333334,0.9413333333333334,0.3667311174475774,0.2883333333333333,0.0788888888888888,1.0582676809613671,1.087508189093964
6,rank_save,0.24,0.57,0.9620606060606058,0.9620606060606058,0.3611455458013238,0.2856666666666667,0.0011111111111111,0.5268814918616376,0.7836437594638106
6,percent,0.2,0.62,0.9557575757575756,0.9557575757575756,0.3746648313593349,0.305,0.1144444444444444,1.1205860755086543,1.2205571614307698
6,percent_save,0.15,0.51,0.966181818181818,0.966181818181818,0.3653755054466792,0.328,0.0111111111111111,0.5715163843038358,0.7779682991609794
7,rank,0.0,0.0,0.9264285714285714,0.937857142857143,0.4653098496576738,0.4088713511299516,0.3466666666666667,1.0295130888008273,0.9326204454533044
7,rank_save,0.3,0.34,0.909065934065934,0.9341758241758245,0.4708888627349613,0.3518138562307558,0.2555555555555555,0.8465723656504425,0.6639082678560715
