a,b,eta,save_flag,obj_F_mean,obj_J_mean,obj_D_mean,obj_R_mean,obj_F_sd,obj_J_sd,obj_D_sd,obj_R_sd,gamma
1.001,8.1863,2.0235,0,0.9544,-0.1132,0.5942,0.959,0.0444,0.5093,0.0585,0.0086,1.0
1.364,1.5114,0.3893,1,0.078,0.7705,0.8801,0.9384,0.3527,0.1616,0.102,0.044,1.7004
0.6883,3.4194,1.9241,0,0.5284,0.5255,0.7729,0.9485,0.1936,0.3794,0.0616,0.0261,1.0
1.0103,4.7409,2.1578,0,0.6185,0.3933,0.7143,0.9371,0.2289,0.496,0.04,0.0778,1.0
1.9617,5.5173,0.5351,0,0.9028,-0.0034,0.8642,0.9425,0.075,0.5975,0.0656,0.0287,1.0
1.8576,6.2133,0.7379,0,0.9161,-0.0334,0.8346,0.932,0.0762,0.6003,0.0494,0.0373,1.0
1.1402,2.1462,0.2411,0,0.3462,0.6484,0.8815,0.9405,0.1943,0.331,0.1038,0.049,1.0
1.6129,5.7964,1.4675,1,0.7133,0.2986,0.7046,0.8561,0.1048,0.3875,0.0703,0.0671,0.7305
1.348,2.0711,2.5414,0,0.3474,0.6686,0.7509,0.9509,0.1761,0.2389,0.1125,0.0462,1.0
0.2847,6.14,2.1796,0,0.6677,0.3033,0.7222,0.8808,0.1484,0.3545,0.0242,0.048,1.0
0.8073,1.2378,2.1191,0,0.2196,0.7513,0.8011,0.9529,0.1569,0.1711,0.1145,0.0577,1.0
0.854,0.3266,2.8613,0,0.1339,0.7263,0.8272,0.9828,0.1867,0.1633,0.1048,0.0211,1.0
1.1184,2.1715,0.4638,1,0.1628,0.7457,0.8662,0.9343,0.2104,0.1715,0.1058,0.0505,1.6862
0.2743,1.4099,2.4098,0,0.4502,0.5877,0.8063,0.9511,0.1292,0.2784,0.0477,0.0411,1.0
0.4583,3.0704,0.4404,1,0.4051,0.6474,0.9005,0.9135,0.2713,0.2605,0.0561,0.0591,0.267
1.3995,4.8965,2.7356,1,0.5683,0.4545,0.6282,0.8691,0.1862,0.3904,0.0589,0.1096,1.3967
1.3862,9.8571,2.2616,0,0.9844,-0.2032,0.5136,0.9419,0.0091,0.4355,0.0395,0.0319,1.0
1.0082,0.49,0.6057,1,0.1924,0.7827,0.8897,0.9201,0.2304,0.1711,0.0889,0.0164,0.4842
0.4257,6.1339,1.3731,0,0.8206,0.1048,0.7874,0.9211,0.0919,0.439,0.0289,0.0299,1.0
1.2699,5.0928,1.2581,1,0.6394,0.3439,0.7628,0.9044,0.1417,0.4352,0.0574,0.0763,0.572
1.9834,6.5962,1.9068,0,0.9174,-0.0399,0.6285,0.9208,0.0648,0.5724,0.0606,0.0503,1.0
0.8984,0.3731,2.4854,0,0.1625,0.712,0.8356,0.9705,0.1895,0.1824,0.1008,0.0368,1.0
1.8225,3.0027,0.326,0,0.4314,0.6045,0.8674,0.9343,0.2081,0.3142,0.1,0.025,1.0
0.4734,1.4991,2.2094,0,0.3135,0.6943,0.7896,0.9371,0.1778,0.1921,0.0963,0.09,1.0
0.1844,8.0097,0.7295,0,0.7977,0.1953,0.8832,0.9325,0.1362,0.4047,0.0256,0.0171,1.0
1.1333,5.9024,0.7739,0,0.8761,0.03,0.843,0.9459,0.0975,0.6014,0.044,0.0325,1.0
0.3992,7.4916,2.039,0,0.8218,0.1204,0.6743,0.8867,0.1118,0.4165,0.042,0.0575,1.0
