season,week,rule_A,rule_B,p_elim_diff
20,1,percent,percent_save,0.0
20,2,percent,percent_save,0.73
20,3,percent,percent_save,0.37
20,4,percent,percent_save,0.68
20,5,percent,percent_save,0.52
20,6,percent,percent_save,0.59
20,7,percent,percent_save,0.74
20,8,percent,percent_save,0.67
20,9,percent,percent_save,0.0
20,1,percent,rank,0.0
20,2,percent,rank,0.59
20,3,percent,rank,0.39
20,4,percent,rank,0.72
20,5,percent,rank,0.6
20,6,percent,rank,0.72
20,7,percent,rank,0.77
20,8,percent,rank,0.67
20,9,percent,rank,0.0
20,1,percent,rank_save,0.0
20,2,percent,rank_save,0.67
20,3,percent,rank_save,0.37
20,4,percent,rank_save,0.7
20,5,percent,rank_save,0.55
20,6,percent,rank_save,0.69
20,7,percent,rank_save,0.67
20,8,percent,rank_save,0.68
20,9,percent,rank_save,0.0
20,1,percent_save,rank,0.0
20,2,percent_save,rank,0.45
20,3,percent_save,rank,0.04
20,4,percent_save,rank,0.69
20,5,percent_save,rank,0.46
20,6,percent_save,rank,0.56
20,7,percent_save,rank,0.48
20,8,percent_save,rank,0.02
20,9,percent_save,rank,0.0
20,1,percent_save,rank_save,0.0
20,2,percent_save,rank_save,0.58
20,3,percent_save,rank_save,0.0
20,4,percent_save,rank_save,0.65
20,5,percent_save,rank_save,0.36
20,6,percent_save,rank_save,0.55
20,7,percent_save,rank_save,0.61
20,8,percent_save,rank_save,0.01
20,9,percent_save,rank_save,0.0
20,1,rank,rank_save,0.0
20,2,rank,rank_save,0.34
20,3,rank,rank_save,0.04
20,4,rank,rank_save,0.6
20,5,rank,rank_save,0.28
20,6,rank,rank_save,0.6
20,7,rank,rank_save,0.5
20,8,rank,rank_save,0.01
20,9,rank,rank_save,0.0
