season,metric,upset_rank,upset_save,upset_change,rho_rank,rho_save,rho_change,interpretation
1,upset_rate_and_rho,0.286,0.068,-76.2%,0.585,0.775,32.5%,"Save降低爆冷, 提升评委权重"
2,upset_rate_and_rho,0.131,0.039,-70.7%,0.77,0.876,13.8%,"Save降低爆冷, 提升评委权重"
3,upset_rate_and_rho,0.161,0.054,-66.2%,0.919,0.917,-0.3%,Save降低爆冷
4,upset_rate_and_rho,0.06,0.003,-94.4%,0.872,0.914,4.8%,Save降低爆冷
5,upset_rate_and_rho,0.039,0.004,-88.6%,0.937,0.901,-3.8%,Save降低爆冷
6,upset_rate_and_rho,0.079,0.001,-98.6%,0.941,0.962,2.2%,Save降低爆冷
7,upset_rate_and_rho,0.347,0.256,-26.3%,0.938,0.934,-0.4%,Save降低爆冷
8,upset_rate_and_rho,0.18,0.103,-42.8%,0.865,0.827,-4.3%,Save降低爆冷
9,upset_rate_and_rho,0.391,0.264,-32.4%,0.93,0.943,1.5%,Save降低爆冷
10,upset_rate_and_rho,0.037,0.012,-66.7%,0.91,0.952,4.6%,Save降低爆冷
11,upset_rate_and_rho,0.15,0.081,-45.9%,0.939,0.941,0.2%,Save降低爆冷
12,upset_rate_and_rho,0.104,0.027,-74.5%,0.925,0.933,0.9%,Save降低爆冷
13,upset_rate_and_rho,0.066,0.009,-86.4%,0.902,0.88,-2.5%,Save降低爆冷
14,upset_rate_and_rho,0.143,0.128,-10.9%,0.917,0.916,-0.1%,Save降低爆冷
15,upset_rate_and_rho,0.13,0.087,-33.3%,0.926,0.924,-0.2%,Save降低爆冷
16,upset_rate_and_rho,0.056,0.01,-82.0%,0.888,0.923,3.8%,Save降低爆冷
17,upset_rate_and_rho,0.059,0.005,-91.5%,0.863,0.862,-0.1%,Save降低爆冷
18,upset_rate_and_rho,0.152,0.009,-94.2%,0.924,0.911,-1.4%,Save降低爆冷
19,upset_rate_and_rho,0.122,0.022,-82.0%,0.892,0.941,5.5%,"Save降低爆冷, 提升评委权重"
20,upset_rate_and_rho,0.057,0.007,-88.2%,0.937,0.913,-2.5%,Save降低爆冷
21,upset_rate_and_rho,0.233,0.181,-22.3%,0.905,0.878,-3.1%,Save降低爆冷
22,upset_rate_and_rho,0.201,0.146,-27.6%,0.93,0.93,-0.0%,Save降低爆冷
23,upset_rate_and_rho,0.118,0.085,-28.0%,0.939,0.926,-1.4%,Save降低爆冷
24,upset_rate_and_rho,0.199,0.168,-15.6%,0.895,0.918,2.6%,Save降低爆冷
25,upset_rate_and_rho,0.07,0.05,-28.6%,0.949,0.954,0.6%,Save降低爆冷
26,upset_rate_and_rho,0.883,0.943,6.8%,0.942,0.935,-0.8%,影响有限
27,upset_rate_and_rho,0.321,0.156,-51.4%,0.854,0.887,3.9%,Save降低爆冷
28,upset_rate_and_rho,0.263,0.19,-27.8%,0.8,0.831,3.9%,Save降低爆冷
29,upset_rate_and_rho,0.259,0.175,-32.4%,0.907,0.936,3.2%,Save降低爆冷
30,upset_rate_and_rho,0.256,0.237,-7.4%,0.902,0.914,1.3%,影响有限
31,upset_rate_and_rho,0.416,0.334,-19.5%,0.917,0.92,0.4%,Save降低爆冷
32,upset_rate_and_rho,0.12,0.038,-68.3%,0.932,0.928,-0.3%,Save降低爆冷
33,upset_rate_and_rho,0.228,0.184,-19.2%,0.855,0.85,-0.5%,Save降低爆冷
34,upset_rate_and_rho,0.255,0.173,-32.2%,0.861,0.888,3.1%,Save降低爆冷
