,mean,2.5%,97.5%
Intercept,0.059653596580588886,0.043388343010766425,0.07189716181871872
C(industry)[T.Astronaut],0.048380907800340586,-0.04283586945704352,0.13450295762767198
C(industry)[T.Athlete],0.020121931118354332,-0.00864606548622744,0.04766989490251615
C(industry)[T.Beauty Pagent],-0.09088891188564086,-0.12463747864003659,-0.0389869759319355
C(industry)[T.Comedian],0.006136752873419252,-0.04862302067507785,0.044544561563994126
C(industry)[T.Entrepreneur],0.01578279057465226,-0.027944545377333162,0.04778635266266775
C(industry)[T.Fashion Designer],0.011923167294805213,-0.05638903386745847,0.05623029476055577
C(industry)[T.Fitness Instructor],0.04882439126216638,-0.07296297147830304,0.4170137356176817
C(industry)[T.Journalist],0.026004347546078665,-0.05765382697596013,0.10758593045035332
C(industry)[T.Magician],-0.08659599253294713,-0.15616269795106835,-0.027409812038017095
C(industry)[T.Military],0.029811666598392187,-0.1362081643314597,0.3039172114563624
C(industry)[T.Model],-0.01163195561837691,-0.07019011148198104,0.048922246560719335
C(industry)[T.Motivational Speaker],-0.041054712951631975,-0.2030753755051333,0.10661155809555817
C(industry)[T.Musician],0.027682723012320724,-0.09130716842003353,0.2183919744753661
C(industry)[T.News Anchor],-0.0032928172984490263,-0.09243999246040076,0.06172215072601123
C(industry)[T.Politician],0.033060220080150506,-0.0209401766262099,0.18124238574096138
C(industry)[T.Producer],0.009179650439135352,-0.20510279293955053,0.25625429202445904
C(industry)[T.Racing Driver],-0.0277956909421371,-0.08852237823199305,0.031124362292313607
C(industry)[T.Radio Personality],0.06577617325807014,-0.03563518617467107,0.23856040558056982
C(industry)[T.Singer/Rapper],-0.0010510812926189947,-0.020849969107106982,0.03126448267136557
C(industry)[T.Social Media Personality],-0.06222147554015779,-0.12272809866622228,0.02011589795192409
C(industry)[T.Social media personality],0.21754337546586874,0.020337257128412497,0.47830575764344996
C(industry)[T.Sports Broadcaster],-0.03853847059137458,-0.15105448203624694,0.0881216828367341
C(industry)[T.TV Personality],-0.012808705730426367,-0.0376907232385221,0.019057680791084185
age_z,-0.018973785952549886,-0.03174394047444362,-0.005182468882352501
week_norm,0.1702357522842638,0.1632577893345371,0.17791943200863733
partner Var,0.3881951826469437,0.1289628663694189,0.8338081760059288
season Var,0.08519329742486961,0.0233462736889393,0.17708464648842048
