,estimate,2.5%,97.5%
Intercept,6.42600317755731,6.252840730031414,6.599165625083206
C(industry)[T.Astronaut],-0.012493020123359946,-1.179469325420753,1.154483285174033
C(industry)[T.Athlete],-0.2096769612095351,-0.317042269622029,-0.1023116527970412
C(industry)[T.Beauty Pageant],-0.5806254620497001,-1.9133616357794505,0.7521107116800502
C(industry)[T.Comedian],-0.27812567800539556,-0.5366734497338135,-0.019577906276977697
C(industry)[T.Conservationist],0.12078276652748074,-0.8877733307092597,1.1293388637642212
C(industry)[T.Entrepreneur],-0.4996741519021913,-0.9515898105191758,-0.047758493285206705
C(industry)[T.Fashion Designer],0.30809430300913576,-0.6182648937611193,1.2344534997793908
C(industry)[T.Fitness Instructor],-0.6652669307312583,-1.2770316274191673,-0.053502234043349306
C(industry)[T.Journalist],-1.228695261344809,-2.5241110037233634,0.06672048103374562
C(industry)[T.Magician],-1.3268910552763657,-2.6113500077547673,-0.042432102797964166
C(industry)[T.Military],-0.6420167582527535,-1.2585310550803763,-0.025502461425130574
C(industry)[T.Model],-0.41274390114279086,-0.6574685256031513,-0.16801927668243044
C(industry)[T.Motivational Speaker],-0.2863065655801804,-0.9210298078633612,0.34841667670300036
C(industry)[T.Musician],0.3372444746980356,-0.27675361359686396,0.9512425629929351
C(industry)[T.News Anchor],-0.20156255847000423,-0.6676919493162492,0.2645668323762408
C(industry)[T.Personality],-1.387968187601291,-2.9035217063895806,0.12758533118699855
C(industry)[T.Politician],-1.2139787322507607,-1.7132759551602508,-0.7146815093412705
C(industry)[T.Producer],0.9451767707932979,0.3201821446906431,1.5701713968959528
C(industry)[T.Racing Driver],0.1524617014134423,-0.2086259927331139,0.5135493955599986
C(industry)[T.Radio Personality],-0.8073088151933917,-1.2850136732485817,-0.3296039571382017
C(industry)[T.Singer/Rapper],0.02531488139578656,-0.09158298731843961,0.14221275011001272
C(industry)[T.Social Media Personality],-0.08477398650469087,-0.3269261270983235,0.1573781540889418
C(industry)[T.Sports Broadcaster],-0.25936471016198254,-0.8598753289791552,0.3411459086551902
C(industry)[T.Tv Personality],-0.3743946013037022,-0.4872311376421842,-0.26155806496522027
age_z,-0.41188004737338096,-0.45700429709481544,-0.3667557976519465
week_norm,3.2324394444415505,3.1016806042795255,3.3631982846035755
partner Var,0.21205258231611515,0.09455247587843084,0.32955268875379945
season Var,0.0797471267341431,0.03333995514077236,0.12615429832751385
