feature,mean_shap,q2.5,q97.5
rolling_avg_pJ,0.041275077,0.032693185,0.049000613
age,0.014752119,0.0066656265,0.02466719
partner_enc,0.011345217,0.0037299,0.019013217
partner_embedding_1,0.009185117,0.002817139,0.022358073
partner_embedding_2,0.008408488,0.0024320052,0.015917294
partner_network_degree,0.00742295,0.0020968786,0.015724152
partner_embedding_3,0.0072867167,0.0016302175,0.017172942
industry_enc,0.005013574,0.0009766384,0.0136625115
partner_network_pagerank,0.004733618,0.0004934981,0.012472952
rolling_std_pJ,0.0045671603,0.0013859085,0.0093662795
partner_network_closeness,0.0031171443,0.0,0.013600071
partner_embedding_0,0.0030822644,0.0001158685,0.009487501
week,0.00046433165,8.490772e-06,0.0017020708
