season,week,pair_id,celebrity_name,S_it,judge_rank,v_mean,v_median,v_ci_low,v_ci_high,ci_width,fan_rank_median,fan_rank_ci_low,fan_rank_ci_high
27,1,2,Bobby Bones,6.666666666666667,4.0,0.28735393273815835,0.27021340340731925,0.11232313145197202,0.5653439262563215,0.4530207948043494,1.0,1.0,4.0
27,1,8,Milo Manheim,6.666666666666667,4.0,0.16292432253949493,0.15177345518496593,0.04660556071236345,0.3441943418225822,0.29758878111021875,2.0,1.0,7.0
27,1,5,Joe Amabile,4.666666666666667,11.0,0.12664463787077418,0.11910882484571628,0.055051459003806445,0.24032383098737498,0.18527237198356852,3.0,1.0,6.0
27,1,1,Alexis Ren,7.333333333333333,3.0,0.11941246046244973,0.11430757658399568,0.03428038984384956,0.23432351617936517,0.2000431263355156,4.0,1.0,7.0
27,1,4,DeMarcus Ware,7.666666666666667,1.0,0.07502465916845909,0.07164062873047516,0.01921229361207662,0.15266950916687186,0.13345721555479523,5.0,2.0,10.0
27,1,6,John Schneider,6.0,8.0,0.07169210654966764,0.06793386848525378,0.02308623028104204,0.13621100300129685,0.11312477272025481,6.0,3.0,9.0
27,1,7,Mary Lou Retton,6.666666666666667,4.0,0.0448952976596553,0.04234546528399977,0.011044916962436046,0.09507465000101831,0.08402973303858226,7.0,4.0,11.0
27,1,9,Nancy McKeon,6.5,7.0,0.03342331625652136,0.03184035557947823,0.0072658875988557215,0.06660210873636503,0.05933622113750931,8.0,5.0,11.0
27,1,11,Tinashe,7.666666666666667,1.0,0.02769918445428875,0.0252391288666414,0.005015821369291034,0.06401505323794779,0.05899923186865676,9.0,6.0,11.0
27,1,3,Danelle Umstead,6.0,8.0,0.030025098666276402,0.028287978553304796,0.006730760452503809,0.06282113973184243,0.056090379279338624,9.0,6.0,11.0
27,1,10,Nikki Glaser,5.833333333333333,10.0,0.020904983634254345,0.01900540605600877,0.00389974063347795,0.04903150696047594,0.04513176632699799,10.0,7.0,11.0
27,2,2,Bobby Bones,6.5,8.0,0.2961710198257686,0.27960434614899454,0.11757772580224143,0.577811158563328,0.4602334327610865,1.0,1.0,4.0
27,2,8,Milo Manheim,8.666666666666666,1.0,0.16678801827701517,0.15619469165876926,0.04657833235449836,0.3498079417172462,0.30322960936274784,2.0,1.0,6.0
27,2,1,Alexis Ren,8.166666666666666,3.0,0.12188596607888469,0.11760621187249358,0.034424667297584824,0.23871727429769973,0.20429260700011492,3.0,1.0,7.0
27,2,5,Joe Amabile,5.833333333333333,10.0,0.1290974491052477,0.1203943739319089,0.056897385766120245,0.2380307461190751,0.18113336035295485,3.0,1.0,6.0
27,2,4,DeMarcus Ware,7.833333333333333,4.0,0.0761438941150243,0.07399791078241234,0.019483524961329768,0.1506462569699616,0.13116273200863182,5.0,2.0,9.0
27,2,6,John Schneider,7.166666666666667,6.0,0.07290421144271104,0.0691143937042196,0.023239061046808996,0.1393055477914726,0.11606648674466362,6.0,3.0,8.0
27,2,7,Mary Lou Retton,7.666666666666667,5.0,0.04542316244125683,0.043293352564499746,0.011076253145348899,0.09320292678302872,0.08212667363767982,7.0,4.0,10.0
27,2,9,Nancy McKeon,6.833333333333333,7.0,0.033623796817452846,0.03241870278270078,0.007005806574704322,0.06634484401641387,0.05933903744170955,8.0,5.0,10.0
27,2,11,Tinashe,8.666666666666666,1.0,0.027884517341973454,0.025479091210754777,0.005272267881869063,0.06476402829702192,0.05949176041515286,9.0,6.0,10.0
27,2,3,Danelle Umstead,6.166666666666667,9.0,0.030077964554658877,0.028287163821613413,0.006859790902507218,0.06234631339332559,0.05548652249081837,9.0,6.0,10.0
27,2,10,,,,6.034638242281455e-15,5.746666031541931e-15,2.707124345865659e-15,1.103972654183755e-14,8.332602195971891e-15,11.0,11.0,11.0
27,3,2,Bobby Bones,7.666666666666667,6.0,0.3083255069802157,0.29097818661945724,0.1241213466081559,0.594966763313365,0.4708454167052091,1.0,1.0,4.0
27,3,8,Milo Manheim,9.0,1.0,0.17267471900062492,0.16124317231349644,0.04809983625983473,0.37253986181790816,0.32444002555807344,2.0,1.0,6.0
27,3,1,Alexis Ren,8.666666666666666,3.0,0.12496285007010224,0.12197384348263682,0.035161526607678815,0.23600194967346597,0.20084042306578714,3.0,1.0,7.0
27,3,5,Joe Amabile,6.0,9.0,0.1328115110439002,0.12598151388176393,0.05911490437795431,0.23872832480831946,0.17961342043036516,3.0,1.0,6.0
27,3,4,DeMarcus Ware,8.666666666666666,3.0,0.07801013855418625,0.0763434519133995,0.019416594825927933,0.15306711536351028,0.13365052053758236,5.0,2.0,8.0
27,3,6,John Schneider,7.0,8.0,0.07455652548106584,0.07193030283449152,0.024040757280873508,0.13770645505270993,0.11366569777183641,6.0,3.0,8.0
27,3,7,Mary Lou Retton,8.0,5.0,0.04637373350614863,0.044137995366073546,0.010859811962982139,0.09709911807980577,0.08623930611682364,7.0,4.0,9.0
27,3,9,Nancy McKeon,7.333333333333333,7.0,0.033963005514649716,0.03237179950017248,0.007120163573475043,0.07001792074188926,0.06289775716841421,8.0,5.0,9.0
27,3,11,Tinashe,9.0,1.0,0.02832200984909377,0.025820865446169582,0.005205620775516157,0.06519253621289628,0.05998691543738012,9.0,6.0,9.0
27,3,3,,,,6.208413606469903e-15,5.90178080212093e-15,2.703443067499644e-15,1.1617673522411926e-14,8.914230454912281e-15,10.0,10.0,10.0
27,3,10,,,,6.208413606469903e-15,5.90178080212093e-15,2.703443067499644e-15,1.1617673522411926e-14,8.914230454912281e-15,11.0,11.0,11.0
27,4,2,Bobby Bones,6.666666666666667,7.0,0.32104157183284515,0.30301598514929073,0.13330013259076742,0.6111077552691084,0.477807622678341,1.0,1.0,3.0
27,4,8,Milo Manheim,9.666666666666666,1.0,0.1791148922111327,0.1687486633552791,0.0510123802671779,0.37137179872468185,0.32035941845750393,2.0,1.0,6.0
27,4,1,Alexis Ren,8.333333333333334,4.0,0.12942707711747095,0.12656296865144478,0.03739781695028226,0.24188456013952714,0.20448674318924487,3.0,1.0,7.0
27,4,5,Joe Amabile,5.0,8.0,0.13726135548207685,0.13069739039961525,0.06038017140452735,0.23850696953311118,0.17812679812858384,3.0,1.0,5.0
27,4,4,DeMarcus Ware,7.333333333333333,5.0,0.08056607168460406,0.07940317798780121,0.02015903650046815,0.15447707698454752,0.13431804048407936,5.0,3.0,8.0
27,4,6,John Schneider,7.0,6.0,0.07645157772274884,0.07385094868011527,0.02429949357385461,0.1413939624233768,0.11709446884952218,6.0,3.0,7.0
27,4,7,Mary Lou Retton,8.666666666666666,2.0,0.04731359783439616,0.04469903655587527,0.0110796031280892,0.09885070118892238,0.08777109806083318,7.0,4.0,8.0
27,4,11,Tinashe,8.666666666666666,2.0,0.02882385611470623,0.026602198176586295,0.005353904026964834,0.06526752691771262,0.05991362289074779,8.0,6.0,8.0
27,4,3,,,,6.4245086465983294e-15,6.1031607923711765e-15,2.719966946596663e-15,1.2145481993320215e-14,9.425515046723552e-15,9.0,9.0,9.0
27,4,9,,,,6.4245086465983294e-15,6.1031607923711765e-15,2.719966946596663e-15,1.2145481993320215e-14,9.425515046723552e-15,10.0,10.0,10.0
27,4,10,,,,6.4245086465983294e-15,6.1031607923711765e-15,2.719966946596663e-15,1.2145481993320215e-14,9.425515046723552e-15,11.0,11.0,11.0
27,5,2,Bobby Bones,7.0,6.0,0.3331228231321151,0.31267836447504616,0.14249908596973468,0.6252494540332111,0.4827503680634764,1.0,1.0,3.0
27,5,8,Milo Manheim,9.0,2.0,0.18491424449627428,0.17476694778548618,0.05153118523670279,0.3765303990934319,0.3249992138567291,2.0,1.0,6.0
27,5,5,Joe Amabile,5.666666666666667,7.0,0.14064754771152996,0.13590946963312375,0.060357756291591035,0.24536394585441146,0.18500618956282042,3.0,1.0,5.0
27,5,1,Alexis Ren,9.666666666666666,1.0,0.13337808344513857,0.13191500512729287,0.0375168546410323,0.2440989689938501,0.2065821143528178,4.0,1.0,6.024999999999864
27,5,4,DeMarcus Ware,8.666666666666666,3.0,0.08248499294168374,0.08104947880235434,0.020611410883108305,0.15330735898307465,0.13269594809996635,5.0,3.0,7.0
27,5,6,John Schneider,8.0,5.0,0.07751695144990221,0.07623639499521281,0.02546625919538225,0.1414172049786916,0.11595094578330933,6.0,3.0,7.0
27,5,7,Mary Lou Retton,8.333333333333334,4.0,0.047935356823328376,0.045291773912306446,0.010800012113352997,0.1021831526348169,0.09138314052146392,7.0,4.0,7.0
27,5,3,,,,6.608919425811895e-15,6.234865968421417e-15,2.7594332218702683e-15,1.2521711798427143e-14,9.762278576556875e-15,8.0,8.0,8.0
27,5,9,,,,6.608919425811895e-15,6.234865968421417e-15,2.7594332218702683e-15,1.2521711798427143e-14,9.762278576556875e-15,9.0,9.0,9.0
27,5,10,,,,6.608919425811895e-15,6.234865968421417e-15,2.7594332218702683e-15,1.2521711798427143e-14,9.762278576556875e-15,10.0,10.0,10.0
27,5,11,,,,6.608919425811895e-15,6.234865968421417e-15,2.7594332218702683e-15,1.2521711798427143e-14,9.762278576556875e-15,11.0,11.0,11.0
27,6,2,Bobby Bones,7.333333333333333,5.0,0.33596469027700504,0.3137939605785881,0.14596448049781122,0.631358050639119,0.4853935701413078,1.0,1.0,3.0
27,6,8,Milo Manheim,10.0,1.0,0.18569053094658503,0.1767162552871424,0.05423209743460008,0.38121449902153154,0.3269824015869315,2.0,1.0,6.0
27,6,5,Joe Amabile,7.333333333333333,5.0,0.1398100356043043,0.13721434869165067,0.06060358312119395,0.23140694737884426,0.1708033642576503,3.0,1.0,5.0
27,6,1,Alexis Ren,9.0,2.0,0.13315810384226057,0.13139638080354715,0.037341605625958854,0.2386321853225325,0.20129057969657366,4.0,2.0,6.0
27,6,4,DeMarcus Ware,8.666666666666666,3.0,0.08192104468736344,0.08141275824269077,0.01961240974032901,0.14845448003753844,0.12884207029720943,5.0,3.0,7.0
27,6,6,John Schneider,6.333333333333333,7.0,0.07633814155245389,0.07487276797550835,0.024540055366688317,0.13788647058141124,0.11334641521472291,6.0,3.0,7.0
27,6,7,Mary Lou Retton,8.0,4.0,0.04711745309000095,0.04492155326231852,0.010822465417250593,0.09880288984934778,0.08798042443209718,7.0,4.975000000000001,7.0
27,6,3,,,,6.601736798926817e-15,6.211888371171704e-15,2.6799963866485395e-15,1.2601949753997684e-14,9.921953367349144e-15,8.0,8.0,8.0
27,6,9,,,,6.601736798926817e-15,6.211888371171704e-15,2.6799963866485395e-15,1.2601949753997684e-14,9.921953367349144e-15,9.0,9.0,9.0
27,6,10,,,,6.601736798926817e-15,6.211888371171704e-15,2.6799963866485395e-15,1.2601949753997684e-14,9.921953367349144e-15,10.0,10.0,10.0
27,6,11,,,,6.601736798926817e-15,6.211888371171704e-15,2.6799963866485395e-15,1.2601949753997684e-14,9.921953367349144e-15,11.0,11.0,11.0
27,7,2,Bobby Bones,8.833333333333334,4.0,0.3551624418230345,0.33362402272367425,0.16278581753856633,0.6649705219874154,0.502184704448849,1.0,1.0,3.0
27,7,8,Milo Manheim,9.666666666666666,1.0,0.195494682034529,0.18575876925772433,0.05751956880836975,0.40686874577494964,0.34934917696657986,2.0,1.0,5.0
27,7,5,Joe Amabile,7.833333333333333,6.0,0.14616948793113785,0.144300468678628,0.06131594654268663,0.23475297192996616,0.17343702538727954,3.0,2.0,5.0
27,7,1,Alexis Ren,9.166666666666666,2.0,0.13957755966795696,0.1400516772437952,0.03790263512047367,0.24422340895799882,0.20632077383752515,4.0,2.0,6.0
27,7,4,DeMarcus Ware,8.833333333333334,4.0,0.08554915190115334,0.08526422886253657,0.02051183414699541,0.1547167710333418,0.13420493688634638,5.0,3.0,6.0
27,7,6,John Schneider,9.0,3.0,0.07804667664215291,0.07653752389956699,0.024391858344555893,0.13990051406845955,0.11550865572390365,6.0,3.0,6.0
27,7,3,,,,6.931499604773753e-15,6.528922710714916e-15,2.755090213575086e-15,1.3069839486511632e-14,1.0314749272936547e-14,7.0,7.0,7.0
27,7,7,,,,6.931499604773753e-15,6.528922710714916e-15,2.755090213575086e-15,1.3069839486511632e-14,1.0314749272936547e-14,8.0,8.0,8.0
27,7,9,,,,6.931499604773753e-15,6.528922710714916e-15,2.755090213575086e-15,1.3069839486511632e-14,1.0314749272936547e-14,9.0,9.0,9.0
27,7,10,,,,6.931499604773753e-15,6.528922710714916e-15,2.755090213575086e-15,1.3069839486511632e-14,1.0314749272936547e-14,10.0,10.0,10.0
27,7,11,,,,6.931499604773753e-15,6.528922710714916e-15,2.755090213575086e-15,1.3069839486511632e-14,1.0314749272936547e-14,11.0,11.0,11.0
27,8,2,Bobby Bones,7.5,4.0,0.42616121909813404,0.40425289084297067,0.20751054669719055,0.7379232665346719,0.5304127198374813,1.0,1.0,2.0
27,8,8,Milo Manheim,9.166666666666666,2.0,0.23394498879631442,0.23093379943893044,0.06220507355114573,0.4661108576364815,0.4039057840853358,2.0,1.0,4.0
27,8,1,Alexis Ren,9.666666666666666,1.0,0.16708369645269835,0.17078648256168066,0.04372934750782062,0.28192797197212677,0.23819862446430615,3.0,2.0,4.0
27,8,5,Joe Amabile,7.666666666666667,3.0,0.1728100956527937,0.1714729585213669,0.06682171250144033,0.27690086645261613,0.21007915395117582,3.0,2.0,4.0
27,8,3,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,5.0,5.0,5.0
27,8,4,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,6.0,6.0,6.0
27,8,6,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,7.0,7.0,7.0
27,8,7,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,8.0,8.0,8.0
27,8,9,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,9.0,9.0,9.0
27,8,10,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,10.0,10.0,10.0
27,8,11,,,,8.37896155123973e-15,7.865144029763153e-15,3.09956569459951e-15,1.6744469126361623e-14,1.3644903431762113e-14,11.0,11.0,11.0
27,9,2,Bobby Bones,9.0,3.0,0.5159467798102011,0.4948312807582962,0.25682491899184423,0.8278492484241433,0.5710243294322991,1.0,1.0,2.0
27,9,8,Milo Manheim,10.0,1.0,0.2835013671171911,0.2866253420839493,0.06934627376081567,0.538761584886551,0.4694153111257353,2.0,1.0,3.0
27,9,1,Alexis Ren,9.5,2.0,0.20055185307252613,0.20445957728078457,0.04746182639952781,0.3327486151447156,0.28528678874518776,3.0,2.0,3.0
27,9,3,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,4.0,4.0,4.0
27,9,4,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,5.0,5.0,5.0
27,9,5,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,6.0,6.0,6.0
27,9,6,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,7.0,7.0,7.0
27,9,7,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,8.0,8.0,8.0
27,9,9,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,9.0,9.0,9.0
27,9,10,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,10.0,10.0,10.0
27,9,11,,,,1.0257487500122535e-14,9.494881468460985e-15,3.4385482975254807e-15,2.1783562452110068e-14,1.8345014154584587e-14,11.0,11.0,11.0
