Season,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
1,Non-Elimination,Top-2 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Finale,Season Ended,Season Ended,Season Ended,Season Ended,Season Ended
2,Top-2 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended,Season Ended,Season Ended
3,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Missing Data,Top-1 Hit,Top-1 Hit,Finale,Season Ended
4,Non-Elimination,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
5,Top-1 Hit,Top-2 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Missing Data,Top-1 Hit,Finale,Season Ended
6,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
7,Top-1 Hit,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
8,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale
9,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Finale,Season Ended
10,Non-Elimination,Top-2 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Finale,Season Ended
11,Miss,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-2 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Finale,Season Ended
12,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
13,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
14,Non-Elimination,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
15,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Finale,Season Ended
16,Non-Elimination,Top-1 Hit,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Finale,Season Ended
17,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale
18,Top-2 Hit,Top-1 Hit,Non-Elimination,Non-Elimination,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
19,Top-2 Hit,Top-1 Hit,Top-1 Hit,Top-2 Hit,Non-Elimination,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Missing Data,Finale
20,Non-Elimination,Top-2 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Missing Data,Finale,Season Ended
21,Non-Elimination,Top-1 Hit,Non-Elimination,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Finale
22,Non-Elimination,Top-1 Hit,Missing Data,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-2 Hit,Top-1 Hit,Finale,Season Ended
23,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale
24,Non-Elimination,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
25,Non-Elimination,Top-1 Hit,Non-Elimination,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
26,Top-2 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended,Season Ended,Season Ended,Season Ended,Season Ended,Season Ended,Season Ended
27,Top-2 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended,Season Ended
28,Non-Elimination,Top-2 Hit,Non-Elimination,Top-1 Hit,Non-Elimination,Miss,Top-2 Hit,Miss,Top-1 Hit,Top-1 Hit,Finale
29,Non-Elimination,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale
30,Non-Elimination,Top-1 Hit,Missing Data,Top-1 Hit,Missing Data,Top-1 Hit,Top-1 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
31,Top-2 Hit,Top-2 Hit,Top-1 Hit,Top-1 Hit,Miss,Missing Data,Top-2 Hit,Top-1 Hit,Top-1 Hit,Finale,Season Ended
32,Top-2 Hit,Top-2 Hit,Top-1 Hit,Miss,Top-1 Hit,Missing Data,Missing Data,Top-1 Hit,Missing Data,Non-Elimination,Finale
33,Non-Elimination,Miss,Top-1 Hit,Top-2 Hit,Top-1 Hit,Miss,Top-1 Hit,Non-Elimination,Finale,Season Ended,Season Ended
