contestant,season,actual_placement,rule,sample_id,posterior_placement
Billy Ray Cyrus,4,5,percent,0,8
Billy Ray Cyrus,4,5,percent,1,7
Billy Ray Cyrus,4,5,percent,2,7
Billy Ray Cyrus,4,5,percent,3,8
Billy Ray Cyrus,4,5,percent,4,8
Billy Ray Cyrus,4,5,percent,5,7
Billy Ray Cyrus,4,5,percent,6,8
Billy Ray Cyrus,4,5,percent,7,8
Billy Ray Cyrus,4,5,percent,8,8
Billy Ray Cyrus,4,5,percent,9,8
Billy Ray Cyrus,4,5,percent,10,7
Billy Ray Cyrus,4,5,percent,11,7
Billy Ray Cyrus,4,5,percent,12,8
Billy Ray Cyrus,4,5,percent,13,8
Billy Ray Cyrus,4,5,percent,14,6
Billy Ray Cyrus,4,5,percent,15,6
Billy Ray Cyrus,4,5,percent,16,7
Billy Ray Cyrus,4,5,percent,17,8
Billy Ray Cyrus,4,5,percent,18,9
Billy Ray Cyrus,4,5,percent,19,7
Billy Ray Cyrus,4,5,percent,20,7
Billy Ray Cyrus,4,5,percent,21,7
Billy Ray Cyrus,4,5,percent,22,9
Billy Ray Cyrus,4,5,percent,23,8
Billy Ray Cyrus,4,5,percent,24,8
Billy Ray Cyrus,4,5,percent,25,7
Billy Ray Cyrus,4,5,percent,26,7
Billy Ray Cyrus,4,5,percent,27,7
Billy Ray Cyrus,4,5,percent,28,6
Billy Ray Cyrus,4,5,percent,29,8
Billy Ray Cyrus,4,5,percent,30,8
Billy Ray Cyrus,4,5,percent,31,9
Billy Ray Cyrus,4,5,percent,32,9
Billy Ray Cyrus,4,5,percent,33,7
Billy Ray Cyrus,4,5,percent,34,8
Billy Ray Cyrus,4,5,percent,35,8
Billy Ray Cyrus,4,5,percent,36,8
Billy Ray Cyrus,4,5,percent,37,7
Billy Ray Cyrus,4,5,percent,38,7
Billy Ray Cyrus,4,5,percent,39,7
Billy Ray Cyrus,4,5,percent,40,8
Billy Ray Cyrus,4,5,percent,41,7
Billy Ray Cyrus,4,5,percent,42,7
Billy Ray Cyrus,4,5,percent,43,7
Billy Ray Cyrus,4,5,percent,44,7
Billy Ray Cyrus,4,5,percent,45,7
Billy Ray Cyrus,4,5,percent,46,7
Billy Ray Cyrus,4,5,percent,47,7
Billy Ray Cyrus,4,5,percent,48,7
Billy Ray Cyrus,4,5,percent,49,8
Billy Ray Cyrus,4,5,percent,50,7
Billy Ray Cyrus,4,5,percent,51,8
Billy Ray Cyrus,4,5,percent,52,7
Billy Ray Cyrus,4,5,percent,53,7
Billy Ray Cyrus,4,5,percent,54,8
Billy Ray Cyrus,4,5,percent,55,7
Billy Ray Cyrus,4,5,percent,56,7
Billy Ray Cyrus,4,5,percent,57,6
Billy Ray Cyrus,4,5,percent,58,8
Billy Ray Cyrus,4,5,percent,59,7
Billy Ray Cyrus,4,5,percent,60,8
Billy Ray Cyrus,4,5,percent,61,7
Billy Ray Cyrus,4,5,percent,62,7
Billy Ray Cyrus,4,5,percent,63,6
Billy Ray Cyrus,4,5,percent,64,7
Billy Ray Cyrus,4,5,percent,65,7
Billy Ray Cyrus,4,5,percent,66,7
Billy Ray Cyrus,4,5,percent,67,7
Billy Ray Cyrus,4,5,percent,68,8
Billy Ray Cyrus,4,5,percent,69,7
Billy Ray Cyrus,4,5,percent,70,7
Billy Ray Cyrus,4,5,percent,71,8
Billy Ray Cyrus,4,5,percent,72,7
Billy Ray Cyrus,4,5,percent,73,7
Billy Ray Cyrus,4,5,percent,74,8
Billy Ray Cyrus,4,5,percent,75,8
Billy Ray Cyrus,4,5,percent,76,7
Billy Ray Cyrus,4,5,percent,77,8
Billy Ray Cyrus,4,5,percent,78,7
Billy Ray Cyrus,4,5,percent,79,7
Billy Ray Cyrus,4,5,percent,80,7
Billy Ray Cyrus,4,5,percent,81,9
Billy Ray Cyrus,4,5,percent,82,7
Billy Ray Cyrus,4,5,percent,83,7
Billy Ray Cyrus,4,5,percent,84,7
Billy Ray Cyrus,4,5,percent,85,7
Billy Ray Cyrus,4,5,percent,86,6
Billy Ray Cyrus,4,5,percent,87,7
Billy Ray Cyrus,4,5,percent,88,7
Billy Ray Cyrus,4,5,percent,89,7
Billy Ray Cyrus,4,5,percent,90,7
Billy Ray Cyrus,4,5,percent,91,7
Billy Ray Cyrus,4,5,percent,92,7
Billy Ray Cyrus,4,5,percent,93,7
Billy Ray Cyrus,4,5,percent,94,8
Billy Ray Cyrus,4,5,percent,95,7
Billy Ray Cyrus,4,5,percent,96,7
Billy Ray Cyrus,4,5,percent,97,7
Billy Ray Cyrus,4,5,percent,98,7
Billy Ray Cyrus,4,5,percent,99,6
Billy Ray Cyrus,4,5,percent_save,0,9
Billy Ray Cyrus,4,5,percent_save,1,8
Billy Ray Cyrus,4,5,percent_save,2,9
Billy Ray Cyrus,4,5,percent_save,3,9
Billy Ray Cyrus,4,5,percent_save,4,8
Billy Ray Cyrus,4,5,percent_save,5,11
Billy Ray Cyrus,4,5,percent_save,6,9
Billy Ray Cyrus,4,5,percent_save,7,10
Billy Ray Cyrus,4,5,percent_save,8,9
Billy Ray Cyrus,4,5,percent_save,9,10
Billy Ray Cyrus,4,5,percent_save,10,10
Billy Ray Cyrus,4,5,percent_save,11,9
Billy Ray Cyrus,4,5,percent_save,12,9
Billy Ray Cyrus,4,5,percent_save,13,9
Billy Ray Cyrus,4,5,percent_save,14,9
Billy Ray Cyrus,4,5,percent_save,15,10
Billy Ray Cyrus,4,5,percent_save,16,10
Billy Ray Cyrus,4,5,percent_save,17,11
