season,week,p_elim_diff
1,1,0.07245897943956905
1,2,0.04631572751483397
1,3,0.28777233101119964
1,4,0.3416191645546384
1,5,0.030706433613699256
1,6,0.40433929530962903
1,7,0.1474395530506387
1,8,0.5845930355962169
2,1,0.09895520255298768
2,2,0.19748094927102164
2,3,0.49905233254818826
2,4,0.8037913014184376
2,5,0.6730879331942379
2,6,0.7607736650492999
2,7,0.894135767559481
3,1,0.1929645527005029
3,2,0.4176992334074377
3,3,0.17007034847722965
3,4,0.6849786929890054
3,5,0.7871966287511478
3,6,0.12189739215045872
3,7,0.07505528842393151
3,8,0.5176867567542079
4,1,0.21581172645428728
4,2,0.26903203373085877
4,3,0.6797934047627447
4,4,0.8626414206056604
4,5,0.7047455503093569
4,6,0.83432165073223
4,7,0.6227220725544627
5,1,0.2541790999189657
5,2,0.1395533575545255
5,3,0.7031387535059141
5,4,0.09429491449124308
5,5,0.2290287882082211
5,6,0.6000643020941588
6,1,0.21014128854286968
6,2,0.6109948131349363
6,3,0.2916531493230964
6,4,0.7086939575391529
6,5,0.8234559557112842
6,6,0.41783442583195907
7,1,0.46134339332409974
7,2,0.5519849257281968
7,3,0.30328150918992225
7,4,0.4968872162857422
7,5,0.6515329739854675
7,6,0.0
7,7,0.141824610648067
7,8,0.15201955591528432
7,9,0.33767991059920144
7,10,0.2571821374962723
7,11,0.12158962476806069
8,1,0.35761959630853757
8,2,0.499990151010072
8,3,0.33758527210652056
8,4,0.43247532005267847
8,5,0.5622152148832138
8,6,0.5184531462126976
8,7,0.36492546558996203
8,8,0.5525072254271246
8,9,0.5045634984547317
8,10,0.2360711232718138
8,11,0.2768917394037538
9,1,0.34351551459194707
9,2,0.6788377243301558
9,3,0.29361119745417513
9,4,0.7661486867107331
9,5,0.43046537797810513
9,6,0.41627574098460113
9,7,0.7303644561782828
9,8,0.519193673407705
9,9,0.24077661150492674
9,10,0.7277170178278636
10,1,0.312882730143786
10,2,0.47746409107697774
10,3,0.0
10,4,0.48598874961614846
10,5,0.3904737741631626
10,6,0.2759720730534459
10,7,0.3821127538626448
10,8,0.011464194776343403
10,9,0.6785692163604475
10,10,0.21467374372594764
10,11,0.4387240073689794
11,1,0.06394540272838886
11,2,0.6723869239960695
11,3,1.0
11,4,0.8202955999367367
11,5,0.8518504811056922
11,6,0.589118097011821
11,7,0.8774346520424503
11,8,0.8981727805935514
11,9,0.8031305479996833
11,10,0.9254548380213935
