Season,Week,CelebrityID,Name,Partner,Industry,Is_US,Raw_Total,Judge_Count,Avg_Score,Z_Score,Score_Trajectory,Judge_Rank,Is_Eliminated,Final_Placement
1,1,0,John O'Hurley,Charlotte Jorgensen,Acting,1,20.0,3,6.666666666666667,0.6755,0.0,1,0,2
1,2,0,John O'Hurley,Charlotte Jorgensen,Acting,1,26.0,3,8.666666666666666,1.312,2.0,1,0,2
1,3,0,John O'Hurley,Charlotte Jorgensen,Acting,1,24.0,3,8.0,0.5634,-0.67,2,0,2
1,4,0,John O'Hurley,Charlotte Jorgensen,Acting,1,21.0,3,7.0,-0.6794,-1.0,3,0,2
1,5,0,John O'Hurley,Charlotte Jorgensen,Acting,1,27.0,3,9.0,1.1286,2.0,1,0,2
1,6,0,John O'Hurley,Charlotte Jorgensen,Acting,1,27.0,3,9.0,-0.7071,0.0,2,0,2
1,1,1,Kelly Monaco,Alec Mazo,Acting,1,13.0,3,4.333333333333333,-1.9036,0.0,6,0,1
1,2,1,Kelly Monaco,Alec Mazo,Acting,1,17.0,3,5.666666666666667,-0.7123,1.33,5,0,1
1,3,1,Kelly Monaco,Alec Mazo,Acting,1,21.0,3,7.0,-0.0402,1.33,4,0,1
1,4,1,Kelly Monaco,Alec Mazo,Acting,1,26.0,3,8.666666666666666,1.019,1.67,1,0,1
1,5,1,Kelly Monaco,Alec Mazo,Acting,1,23.5,3,7.833333333333333,-0.3527,-0.83,2,0,1
1,6,1,Kelly Monaco,Alec Mazo,Acting,1,27.5,3,9.166666666666666,0.7071,1.33,1,0,1
1,1,2,Evander Holyfield,Edyta Sliwinska,Sports,1,18.0,3,6.0,-0.0614,0.0,4,0,5
1,2,2,Evander Holyfield,Edyta Sliwinska,Sports,1,14.0,3,4.666666666666667,-1.387,-1.33,6,0,5
1,3,2,Evander Holyfield,Edyta Sliwinska,Sports,1,13.0,3,4.333333333333333,-1.6499,-0.33,5,1,5
1,1,3,Rachel Hunter,Jonathan Roberts,Model,0,20.0,3,6.666666666666667,0.6755,0.0,1,0,4
