Dancing with the Stars - All Seasons Summary (1-34),Unnamed: 1,Unnamed: 2,Unnamed: 3,Season_Sheet,Couple,Pl,Wk1,Wk2,Wk1+2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk6+7,Wk9,Wk10N1,Wk10N2,Wk1N1,Wk1N2,Wk3+4,Wk10,Wk11N1,Wk11N2,Wk5+6,Wk7+8,Wk2N1,Wk2N2,Wk11,Wk4N1,Wk4N2,Wk4-1+2,Wk5N1,Wk5N2,Wk5-1+2,Wk10+11,Wk3N1,Wk3N2,Wk3-1+2,Wk8+9
,,,,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Winner,Runner-up,Third Place,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Kelly & Alec,John & Charlotte,Joey & Ashly,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Drew & Cheryl,Jerry & Anna,Stacy & Tony,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,Emmitt & Cheryl,Mario & Karina,Joey & Edyta,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Apolo & Julianne,Joey & Kym,Laila & Maks,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Hélio & Julianne,Mel & Maks,Marie & Jonathan,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Kristi & Mark,Jason & Edyta,Cristián & Cheryl,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Brooke & Derek,Warren & Kym,Lance & Lacey,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8,Shawn & Mark,Gilles & Cheryl,Melissa & Tony,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S9,Donny & Kym,Mýa & Dmitry,Kelly & Louis,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,Nicole & Derek,Evan & Anna,Erin & Maks,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,Jennifer & Derek,Kyle & Lacey,Bristol & Mark,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12,Hines & Kym,Kirstie & Maks,Chelsea & Mark,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S13,J.R. & Karina,Rob & Cheryl,Ricki & Derek,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14,Donald & Peta,Katherine & Mark,William & Cheryl,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S15,Melissa & Tony,Shawn & Derek,Kelly & Val,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S16,Kellie & Derek,Zendaya & Val,Jacoby & Karina,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S17,Amber & Derek,Corbin & Karina,Jack & Cheryl,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S18,Meryl & Maks,Amy & Derek,Candace & Mark,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S19,Alfonso & Witney,Sadie & Mark,Janel & Val,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S20,Rumer & Val,Riker & Allison,Noah & Sharna,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
